2022 Retail Power Marketers Sales- Residential,,,,,,
(Data from form EIA-861 schedule 4B),,,,,,
Entity,State,Ownership,Customers (Count),Sales (Megawatthours),Revenues (Thousands Dollars),Average Price (cents/kWh)
Tomorow Energy Corp.,MD,Retail Power Marketer,"4,907","51,686","8,678.3",16.79
"Town Square Energy East, LLC",MD,Retail Power Marketer,82,903,159.2,17.63
Viridian Energy PA LLC,MD,Retail Power Marketer,"1,985","21,715","3,367.9",15.51
"WGL Energy Services, Inc.",MD,Retail Power Marketer,"33,842","342,508","34,094.0",9.95
"XOOM Energy Maryland, LLC",MD,Retail Power Marketer,"9,573","104,343","15,162.0",14.53
"Ambit Energy Holdings, LLC",ME,Retail Power Marketer,"5,314","40,449","5,000.0",12.36
"C. N. Brown Electricity, LLC",ME,Retail Power Marketer,"4,301","32,948","3,191.0",9.68
Clearview Electric Inc.,ME,Retail Power Marketer,"1,116","5,046",971.0,19.24
"Constellation NewEnergy, Inc",ME,Retail Power Marketer,741,"7,469",541.1,7.24
"ENGIE Retail, LLC",ME,Retail Power Marketer,"1,792","12,504","1,727.7",13.82
"Electricity Maine, LLC",ME,Retail Power Marketer,"26,067","171,601","24,052.0",14.02
Energywell LLC,ME,Retail Power Marketer,"1,740","1,938",258.0,13.31
FairPoint Energy LLC,ME,Retail Power Marketer,"4,756","24,293","3,819.1",15.72
"First Point Power, LLC",ME,Retail Power Marketer,264,"2,005",168.3,8.39
Major Energy Electric Services,ME,Retail Power Marketer,217,642,128.7,20.05
"Mega Energy of Maine, LLC",ME,Retail Power Marketer,122,851,139.0,16.33
"North American Power and Gas, LLC",ME,Retail Power Marketer,"2,509","17,480","2,540.0",14.53
"SmartEnergy Holdings, LLC",ME,Retail Power Marketer,"10,986","84,458","13,718.3",16.24
Town Square Energy,ME,Retail Power Marketer,"1,435","8,823","1,576.4",17.87
"XOOM Energy Maine, LLC",ME,Retail Power Marketer,740,"4,977",814.0,16.36
"Ambit Energy Holdings, LLC",NH,Retail Power Marketer,"2,660","21,108","3,283.0",15.55
Clearview Electric Inc.,NH,Retail Power Marketer,"1,351","7,079","1,659.2",23.44
"Constellation NewEnergy, Inc",NH,Retail Power Marketer,815,"15,899","1,231.4",7.75
Direct Energy Services,NH,Retail Power Marketer,"30,634","231,701","27,517.0",11.88
"ENGIE Retail, LLC",NH,Retail Power Marketer,618,"3,794",443.5,11.69
"Electricity NH, LLC",NH,Retail Power Marketer,"17,769","121,155","16,971.0",14.01
Energywell LLC,NH,Retail Power Marketer,"1,414","1,726",292.4,16.94
FairPoint Energy LLC,NH,Retail Power Marketer,"3,418","22,923","3,626.0",15.82
"First Point Power, LLC",NH,Retail Power Marketer,"1,634","16,339","1,600.7",9.80
"Mega Energy of New Hampshire, LLC",NH,Retail Power Marketer,410,"2,656",600.0,22.59
"North American Power and Gas, LLC",NH,Retail Power Marketer,"16,640","124,106","18,334.0",14.77
"SmartEnergy Holdings, LLC",NH,Retail Power Marketer,"5,847","37,132","6,383.6",17.19
"Summer Energy Northeast, LLC",NH,Retail Power Marketer,63,538,91.0,16.91
"Sunwave Gas & Power Connecticut, Inc.",NH,Retail Power Marketer,112,199,17.8,8.94
